classifier,model,fold,balanced_accuracy,macro_AUROC,log_loss,n_features,features
logistic,amplitude_plus_carrier_mass,8,0.25,0.5009566326530612,1.39136477305315,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,9,0.26785714285714285,0.5308248299319728,1.3828831100596304,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,10,0.2857142857142857,0.5092474489795918,1.3824708351786525,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,11,0.23214285714285712,0.5260416666666666,1.3846457117500965,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,12,0.25,0.4737457482993197,1.3959164378388667,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,13,0.32142857142857145,0.49968112244897955,1.393018485567031,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,14,0.25892857142857145,0.48076105442176875,1.4090566102267554,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,15,0.17857142857142858,0.4992559523809524,1.391593318704666,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,16,0.19642857142857142,0.46269132653061223,1.4087389296560993,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,17,0.2857142857142857,0.5362457482993197,1.385209163409256,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,18,0.3392857142857143,0.5467687074829932,1.3788383528292443,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,19,0.23214285714285715,0.4412202380952381,1.4128377581010132,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,20,0.2857142857142857,0.4856505102040816,1.3988661234529631,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,21,0.24107142857142858,0.5122236394557823,1.3900117892580819,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,22,0.2857142857142857,0.5497448979591837,1.3817853655376868,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,23,0.17857142857142858,0.4804421768707483,1.3955617048471038,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,24,0.26785714285714285,0.4917091836734694,1.3920311036665172,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,25,0.2857142857142857,0.5244472789115646,1.385511010864978,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,26,0.2857142857142857,0.5476190476190477,1.378560643374405,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,27,0.25,0.5009566326530612,1.3862642841119153,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,28,0.25,0.5167942176870748,1.3843961628431694,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,29,0.2232142857142857,0.4426020408163265,1.4121660323944698,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,30,0.2857142857142857,0.5478316326530612,1.3809822258065196,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,31,0.26785714285714285,0.5112670068027211,1.396416083476474,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,32,0.20535714285714285,0.47395833333333337,1.403792715221762,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,33,0.2857142857142857,0.4956420068027211,1.397942148085695,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,34,0.1875,0.49340986394557823,1.3936674897187717,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,35,0.2589285714285714,0.4830994897959184,1.402411614569629,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,36,0.21428571428571427,0.43941326530612246,1.4006702399098891,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,37,0.24999999999999997,0.49309098639455784,1.3957023971366114,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,38,0.25892857142857145,0.4976615646258503,1.4012695490757472,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,39,0.23214285714285715,0.4928784013605443,1.3886052758655238,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,40,0.2232142857142857,0.4782100340136054,1.4011187371928986,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,41,0.24107142857142855,0.49351615646258506,1.3899060187095214,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,42,0.1875,0.48830782312925164,1.3967831779719957,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,43,0.27678571428571425,0.5238095238095238,1.3891454631838365,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
